485,314,485,192,814,192,814,314
1006,278,892,278,892,207,1006,207
1221,271,1221,214,1320,214,1320,271
1206,278,1163,278,1163,228,1206,228
1385,271,1335,271,1335,221,1385,221
1392,271,1392,221,1456,221,1456,271
1470,271,1470,221,1563,221,1563,271
1592,271,1592,221,1735,221,1735,271
1842,271,1749,271,1749,221,1842,221
1949,271,1856,271,1856,221,1949,221
2085,271,1963,271,1963,221,2085,221
1149,285,1028,285,1028,221,1149,221
692,592,692,535,806,535,806,592
349,607,349,535,521,535,521,607
671,592,535,592,535,542,671,542
1078,592,985,592,985,542,1078,542
1271,592,1099,592,1099,542,1271,542
1392,592,1292,592,1292,542,1392,542
1528,592,1528,542,1642,542,1642,592
1513,599,1406,599,1406,549,1513,549
1663,592,1663,549,1785,549,1785,592
1063,678,985,678,985,614,1063,614
1163,671,1085,671,1085,614,1163,614
1256,671,1171,671,1171,614,1256,614
1278,678,1278,607,1499,607,1499,678
1513,678,1513,614,1592,614,1592,678
1606,664,1606,614,1735,614,1735,664
1985,664,1906,664,1906,621,1985,621
1892,671,1756,671,1756,614,1892,614
799,692,764,692,764,635,799,635
471,692,271,692,271,635,471,635
592,685,492,685,492,635,592,635
742,692,614,692,614,635,742,635
1163,742,1163,685,1213,685,1213,742
1306,749,1228,749,1228,685,1306,685
1328,742,1328,685,1478,685,1478,742
1606,742,1499,742,1499,685,1606,685
985,749,985,685,1149,685,1149,749
1756,735,1628,735,1628,692,1756,692
1063,806,992,806,992,756,1063,756
1363,806,1299,806,1299,764,1363,764
1406,806,1378,806,1378,764,1406,764
1442,806,1442,756,1563,756,1563,806
1585,814,1585,756,1706,756,1706,814
1856,814,1756,814,1756,764,1856,764
1963,814,1877,814,1877,756,1963,756
1363,878,1299,878,1299,835,1363,835
1406,878,1378,878,1378,835,1406,835
1078,878,992,878,992,835,1078,835
1570,878,1442,878,1442,835,1570,835
1706,885,1585,885,1585,835,1706,835
992,956,992,906,1178,906,1178,956
1420,956,1299,956,1299,906,1420,906
1535,956,1449,956,1449,906,1535,906
1642,956,1549,956,1549,906,1642,906
992,1028,992,978,1149,978,1149,1028
1299,1042,1299,978,1935,978,1935,1042
1206,1099,992,1099,992,1056,1206,1056
1649,1099,1299,1099,1299,1056,1649,1056
