636,310,378,310,378,189,636,189
1144,348,1144,265,1349,265,1349,348
1606,348,1387,348,1387,257,1606,257
1849,348,1644,348,1644,280,1849,280
2099,363,1879,363,1879,272,2099,272
371,348,371,326,416,326,416,348
507,439,401,439,401,394,507,394
280,447,128,447,128,394,280,394
386,447,295,447,295,394,386,394
629,447,522,447,522,394,629,394
1493,697,1387,697,1387,644,1493,644
1637,697,1508,697,1508,644,1637,644
1781,705,1781,644,1902,644,1902,705
1917,697,1917,644,2001,644,2001,697
2137,697,2016,697,2016,644,2137,644
1296,697,1144,697,1144,652,1296,652
1371,697,1303,697,1303,659,1371,659
1652,697,1652,652,1766,652,1766,697
1273,796,1136,796,1136,735,1273,735
1334,788,1288,788,1288,735,1334,735
1432,788,1341,788,1341,735,1432,735
1546,780,1447,780,1447,735,1546,735
1758,780,1561,780,1561,735,1758,735
1144,864,1144,811,1205,811,1205,864
1220,864,1220,818,1318,818,1318,864
2008,864,1978,864,1978,818,2008,818
1462,864,1341,864,1341,818,1462,818
1622,871,1478,871,1478,818,1622,818
1743,871,1637,871,1637,818,1743,818
1758,879,1758,811,1963,811,1963,879
1280,955,1144,955,1144,894,1280,894
1409,947,1303,947,1303,894,1409,894
1599,955,1424,955,1424,894,1599,894
1614,955,1614,894,1819,894,1819,955
1182,1031,1144,1031,1144,978,1182,978
1546,1031,1424,1031,1424,985,1546,985
1561,1038,1561,978,1667,978,1667,1038
1857,1038,1690,1038,1690,978,1857,978
2076,1031,1879,1031,1879,978,2076,978
2099,1023,2099,978,2228,978,2228,1023
1394,1031,1205,1031,1205,985,1394,985
1197,1106,1144,1106,1144,1061,1197,1061
1220,1106,1220,1061,1561,1061,1561,1106
401,1197,303,1197,303,1129,401,1129
280,1197,136,1197,136,1129,280,1129
583,1213,424,1213,424,1137,583,1137
1879,1197,1205,1197,1205,1137,1879,1137
1197,1266,1144,1266,1144,1220,1197,1220
348,1273,265,1273,265,1228,348,1228
250,1266,136,1266,136,1228,250,1228
1644,1281,1227,1281,1227,1220,1644,1220
