524,360,524,213,893,213,893,360
1254,311,1090,311,1090,254,1254,254
1516,319,1278,319,1278,254,1516,254
1541,311,1541,254,1901,254,1901,311
1918,319,1918,254,2319,254,2319,319
524,680,327,680,327,623,524,623
721,680,557,680,557,623,721,623
885,680,746,680,746,623,885,623
1090,680,1090,623,1377,623,1377,680
1401,680,1401,623,1631,623,1631,680
1303,762,1303,705,1401,705,1401,762
1770,762,1696,762,1696,705,1770,705
1942,762,1795,762,1795,705,1942,705
2090,762,1959,762,1959,705,2090,705
2205,762,2115,762,2115,705,2205,705
1287,762,1090,762,1090,713,1287,713
1426,779,1426,705,1672,705,1672,779
582,787,582,729,885,729,885,787
557,795,393,795,393,729,557,729
1328,844,1278,844,1278,795,1328,795
1557,844,1360,844,1360,787,1557,787
1631,844,1582,844,1582,787,1631,787
2147,852,2000,852,2000,787,2147,787
2254,844,2164,844,2164,787,2254,787
1090,844,1090,787,1262,787,1262,844
1975,844,1655,844,1655,787,1975,787
1172,926,1098,926,1098,877,1172,877
1442,926,1442,869,1508,869,1508,926
1565,926,1532,926,1532,877,1565,877
1606,926,1606,869,1746,869,1746,926
1901,926,1762,926,1762,869,1901,869
1967,926,1967,869,2065,869,2065,926
2090,926,2090,869,2197,869,2197,926
1442,1008,1442,959,1516,959,1516,1008
1565,1008,1532,1008,1532,959,1565,959
1188,1008,1098,1008,1098,959,1188,959
1746,1008,1606,1008,1606,959,1746,959
1901,1008,1762,1008,1762,959,1901,959
1311,1098,1098,1098,1098,1041,1311,1041
1582,1090,1442,1090,1442,1041,1582,1041
1705,1090,1614,1090,1614,1041,1705,1041
1828,1090,1729,1090,1729,1041,1828,1041
1098,1180,1098,1123,1270,1123,1270,1180
1442,1197,1442,1123,2155,1115,2156,1189
1336,1262,1098,1262,1098,1213,1336,1213
1442,1262,1442,1205,1836,1205,1836,1262
