715,157,471,157,471,78,715,78
1084,157,1084,78,1398,78,1398,157
1705,157,1705,78,1948,78,1948,157
1972,157,1972,78,2098,78,2098,157
2121,157,2121,78,2310,78,2310,157
825,157,738,157,738,94,825,94
1053,157,848,157,848,94,1053,94
1642,157,1422,157,1422,94,1642,94
1202,298,1202,196,1343,196,1343,298
612,298,612,196,935,196,935,298
1846,306,1846,196,2168,196,2168,306
966,322,966,212,1170,212,1170,322
1626,306,1383,306,1383,220,1626,220
1807,306,1650,306,1650,220,1807,220
102,314,102,275,180,275,180,314
251,314,188,314,188,282,251,282
259,314,259,282,361,282,361,314
102,345,102,322,361,322,361,345
1508,550,1508,463,1697,463,1697,550
1076,550,1076,479,1194,479,1194,550
1477,550,1218,550,1218,487,1477,487
998,660,998,597,1186,597,1186,660
1210,660,1210,597,1359,597,1359,660
1524,660,1383,660,1383,605,1524,605
1783,660,1548,660,1548,605,1783,605
1398,919,943,919,943,856,1398,856
998,1045,998,966,1933,966,1933,1045
1045,1155,1045,1076,2066,1076,2066,1155
1563,1265,1469,1265,1469,1186,1563,1186
1398,1257,1398,1194,1445,1194,1445,1257
1100,1257,1100,1202,1241,1202,1241,1257
1375,1257,1265,1257,1265,1202,1375,1202
1579,1257,1579,1202,1705,1202,1705,1257
1831,1257,1721,1257,1721,1202,1831,1202
2082,1273,1854,1273,1854,1202,2082,1202
2247,1265,2106,1265,2106,1202,2247,1202
1155,1351,1155,1296,1218,1296,1218,1351
1233,1367,1233,1288,1414,1288,1414,1367
1430,1359,1430,1296,1587,1296,1587,1359
1783,1367,1611,1367,1611,1288,1783,1288
1909,1351,1807,1351,1807,1296,1909,1296
