670,318,384,318,384,188,670,188
1373,359,1218,359,1218,278,1373,278
2019,368,1414,368,1414,286,2019,286
106,449,106,408,245,408,245,449
261,466,261,408,449,408,449,466
662,458,474,458,474,408,662,408
1300,744,1210,744,1210,703,1300,703
1529,752,1316,752,1316,703,1529,703
1210,834,1210,777,1259,777,1259,834
1275,842,1275,777,1422,777,1422,842
1447,834,1447,777,1651,777,1651,834
1897,850,1668,850,1668,777,1897,777
1316,916,1210,916,1210,867,1316,867
1471,924,1341,924,1341,867,1471,867
1659,924,1659,867,1766,867,1766,924
1954,932,1782,932,1782,867,1954,867
1962,924,1962,867,2109,867,2109,924
2175,932,2126,932,2126,875,2175,875
1643,932,1496,932,1496,867,1643,867
1332,1006,1210,1006,1210,956,1332,956
1520,1006,1349,1006,1349,956,1520,956
1749,1014,1545,1014,1545,956,1749,956
1766,1006,1766,956,2077,956,2077,1006
2207,1022,2093,1022,2093,956,2207,956
1251,1096,1210,1096,1210,1046,1251,1046
1488,1096,1275,1096,1275,1046,1488,1046
1643,1096,1512,1096,1512,1046,1643,1046
1774,1112,1659,1112,1659,1046,1774,1046
1978,1104,1798,1104,1798,1046,1978,1046
2207,1096,2003,1096,2003,1046,2207,1046
2367,1106,2229,1095,2233,1039,2371,1050
1210,1186,1210,1128,1267,1128,1267,1186
1659,1186,1300,1186,1300,1136,1659,1136
278,1267,122,1267,122,1202,278,1202
408,1275,302,1275,302,1202,408,1202
605,1292,433,1292,433,1202,605,1202
1251,1267,1210,1267,1210,1218,1251,1218
1275,1284,1275,1218,2003,1218,2003,1284
1275,1349,1210,1349,1210,1300,1275,1300
310,1349,122,1349,122,1300,310,1300
1749,1374,1300,1374,1300,1308,1749,1308
